R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Marginal_cost,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
105,SD_IID,3,Onshore Wind Turbine,1,4,114.85,483,0,45062,0,None,9.118,0,0,0,0.58,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
124,SoCal,2,Onshore Wind Turbine,1,66,53.847,4252.6,0,45062,0,None,9.121,0,0,0.011,0.019,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
136,UT,11,Onshore Wind Turbine,1,5,77.64,1284.9,0,45062,0,None,9.118,0,0,0,0.007,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
144,WY,10,Onshore Wind Turbine,1,35,86.209,3089.7,0,45062,0,None,9.164,0,0,0.026,0.008,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
11,AZ,8,Small Hydroelectric,1,9,2.125,19.125,0,46475,0,None,9.128,0,0.026,0.013,0.268,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
24,CO,12,Small Hydroelectric,1,51,1.227,62.577,0,46475,0,None,9.118,0,0,0,0.136,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
32,ID,5,Small Hydroelectric,1,100,1.92,192,0,46475,0,None,9.118,0,0,0,0.195,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
39,MT,6,Small Hydroelectric,1,23,2.3,52.9,0,46475,0,None,9.118,0,0,0,0.255,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
51,NM,9,Small Hydroelectric,1,9,2.849,25.641,0,46475,0,None,9.118,0,0,0,0.187,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
64,NV,7,Small Hydroelectric,1,8,0.766,6.128,0,46475,0,None,9.118,0,0.001,0,0.17,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
81,NorCal,1,Small Hydroelectric,1,136,1.777,241.672,0,46475,0,None,9.118,0,0,0.002,0.085,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
95,PNW,4,Small Hydroelectric,1,161,2.602,418.922,0,46475,0,None,9.118,0,0,0,0.316,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
106,SD_IID,3,Small Hydroelectric,1,22,1.437,31.614,0,46475,0,None,9.118,0,0,0.001,0.195,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
125,SoCal,2,Small Hydroelectric,1,101,0.997,100.697,0,46475,0,None,8.56,0,0,2.335,0.184,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
137,UT,11,Small Hydroelectric,1,51,0.722,36.822,0,46475,0,None,9.121,0,0,0.019,0.15,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
145,WY,10,Small Hydroelectric,1,18,1.845,33.21,0,46475,0,None,9.118,0,0,0,0.031,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
12,AZ,8,Solar Photovoltaic,1,105,17.499,2017.8,0,18715,0,None,9.126,0,0,0.013,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
25,CO,12,Solar Photovoltaic,1,50,11.95,533.8,0,18715,0,None,9.146,0,0,0.025,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
33,ID,5,Solar Photovoltaic,1,9,25.333,251.5,0,18715,0,None,9.118,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
52,NM,9,Solar Photovoltaic,1,41,7.68,987.4,0,18715,0,None,9.118,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
65,NV,7,Solar Photovoltaic,1,61,38.418,3526.1,0,18715,0,None,9.144,0,0,0.028,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
82,NorCal,1,Solar Photovoltaic,1,190,17.275,2787.1,0,18715,0,None,9.134,0,0,0.022,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
96,PNW,4,Solar Photovoltaic,1,32,8.678,209.9,0,18715,0,None,9.158,0,0.092,0.044,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
107,SD_IID,3,Solar Photovoltaic,1,50,30.43,3240.5,0,18715,0,None,9.134,0,0,0.022,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
126,SoCal,2,Solar Photovoltaic,1,470,13.041,6279.5,0,18715,0,None,9.131,0,0,0.016,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
138,UT,11,Solar Photovoltaic,1,35,34.149,652.3,0,18715,0,None,9.144,0,0,0.033,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
